iso3,year,value,source,source_url,vintage_date,confidence,verified_by,verified_at,notes
ABW,2016,1.9,Wikipedia: Demographics of [ABW] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP +0.05
ABW,2017,1.89,Wikipedia: Demographics of [ABW] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP +0.10
ABW,2018,1.78,Wikipedia: Demographics of [ABW] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP +0.05
ABW,2019,1.82,Wikipedia: Demographics of [ABW] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP +0.12
ABW,2020,1.64,Wikipedia: Demographics of [ABW] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.02
ABW,2022,1.46,Wikipedia: Demographics of [ABW] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.16
ABW,2023,1.38,Wikipedia: Demographics of [ABW] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.22
ABW,2024,1.32,Wikipedia: Demographics of [ABW] (vital statistics),,2026-05-13,MEDIUM,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.29. Editor certainty: Recheck
ABW,2025,1.27,Wikipedia (bidirectional TFR interpolation),,2026-05-14,MEDIUM,CALCNEW_V7_FRESH,2026-05-14,Calc New v7 (tfr_extrap_fwd). 
AFG,2009,6.24,NSIA Afghanistan,https://www.nsia.gov.af/,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Pre-2016 override (editor matrix start year: 2009)
AFG,2010,6.1,NSIA Afghanistan,https://www.nsia.gov.af/,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Pre-2016 override (editor matrix start year: 2009)
AFG,2011,5.96,NSIA Afghanistan,https://www.nsia.gov.af/,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Pre-2016 override (editor matrix start year: 2009)
